"noc_title","V1.2.C.3.a","V1.2.C.3.b","V1.2.C.4.a","V1.2.C.4.b","V1.2.C.4.c","V1.2.C.4.d","V1.2.C.9.a","V1.2.B.3.b","V1.2.B.3.e","V1.4.A.3.b.1","innovation","rank.2.C.4.a","rank.2.C.4.b","rank.2.C.4.c","rank.2.C.4.d","rank.2.B.3.e","rank.2.B.3.b","rank.2.C.3.a","rank.4.A.3.b.1","rank.2.C.3.b","rank.2.C.9.a","rank.V1.1.C.7.a","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel"
"2143 Mining engineers",12.6616,26.738,19.2153,13.5525,12.0246,5.002,3.0807,7.86,9.295,18.9312,3.96,27.5,19.5,27.5,77.5,10.5,4.5,140.5,45.5,9.5,169.5,62,15.0583354045347,32.9505200859057,12.7360852153264,1,"High-Tech",1
"2144 Geological engineers",12.6616,26.738,19.2153,13.5525,12.0246,5.002,3.0807,7.86,9.295,18.9312,3.96,27.5,19.5,27.5,77.5,10.5,4.5,140.5,45.5,9.5,169.5,62,15.0583354045347,32.9505200859057,12.7360852153264,1,"High-Tech",1
"2145 Petroleum engineers",17.29,28.68,21.93,19.0212,13.8195,2.1574,3.5045,5.0456,2.415,17.7184,4.05,18,9,12,138,67,30,46,63,5,140,45,23.2897187413022,68.1434758467518,19.9575137039707,1,"High-Tech",1
"2146 Aerospace engineers",17.787,29.036,23.6725,19.5052,4.922,0.552,2.9172,12.1875,3.71,25.9616,3.97,9,7,148,297,40.5,1,41,6,4,189.5,58.5,6.69633592851143,20.4068726304751,5.6131650135257,1,"High-Tech",1
"2147 Computer engineers (except software engineers and designers)",31.048875,26.1744,22.386,11.7869,4.0479,0.402925,12.651025,5.058275,9.1875,28.22425,3.895,15,25,185,347,12,28,3,3,12,9,89,7.61103633916555,5.90909090909091,7.26396917148362,1,"Digital",1
"2148 Other professional engineers, n.e.c.",17.354093877551,26.6272979591837,22.3759469387755,19.2143454081633,12.1590306122449,5.70274744897959,5.30150306122449,7.20925714285714,4.36961785714286,18.3202571428571,3.88,16,8,26,68,33,9,45,52,11,66,93,22.3648998348983,47.0897405460404,19.7353760003555,1,"High-Tech",1
"2151 Architects",13.7172,18.2013,15.4148,9.537,4.1958,2.6553,4.2228,3.76,2.82,17.372,4.04,70,46,178,117,57.5,44,104,75,28,92,47,55.9527212495898,79.1633862507667,51.8238350894318,0,NA,NA
"2152 Landscape architects",15.3186,16.02,15.1248,8.8275,5.1,12.837,3.3417,2.35,0.69,16.7698,4.18,79,55,141,27,273.5,110,69,84,36,151,16,82.977921812205,110.276821661996,76.0694102563941,0,NA,NA
"2153 Urban and land use planners",10.13565,6.156,13.361425,2.39065,1.736025,4.4254,2.82555,1.2225,1.7914,15.48195,3.61,120,217,337,88,91,278,224,117,181,203,198,158.859256661088,139.418744418106,152.126789635679,0,NA,NA
"2154 Land surveyors",18.4052,20.169,25.761,10.2725,2.7778,2.2962,7.77,2.176875,4.7925,20.7855,3.34,4,36,253,133,29,122,36,22,21,34,319,32.258987789742,30.2091873388835,31.7615095863567,0,NA,NA
"2161 Mathematicians, statisticians and actuaries",20.0515625,4.45963125,32.23415,3.46425,1.961925,3.9179,2.032275,1.4701625,9.99453125,23.72325,3.795,1,159,325,94,9,228,23,10,235,285,125,24.5221890860744,16.9439644532214,20.7314161420417,1,"Digital",1
"2171 Information systems analysts and consultants",22.0938984375,9.295,13.583253125,2.3303078125,1.651134375,1.754325,7.319390625,6.523378125,8.481309375,23.1392875,3.73625,114,222,346,158,14,18,13,12,103,39,148,19.8501132123609,16.6653948874475,18.0332713334608,1,"Digital",1
"2172 Database analysts and data administrators",26.0142,9.677625,14.9075,0.9313,0.3886,0.1926,9.47375,6.7125,13.26,28.1138,3.84,81,361,430,417,3,16,7,4,99,25,104,8.79397818085353,6.52037617554859,7.76610324349018,1,"Digital",1
"2173 Software engineers and designers",32.718,20.20935,18.90935,4.181925,1.62945,0.15975,12.1539,5.04735,10.3675,27.703125,4.225,31,142,347,421,6,29,1,5,20,12,11,6.20219613782658,4.51239669421488,5.61497326203209,1,"Digital",1
"2174 Computer programmers and interactive media developers",32.6025,5.5225,16.1236,0.7884,0.0342,0.0202,4.0527,5.895,21.375,29.1739,3.76,58,377,478,471.5,1,20,2,1,199,103,140.5,4.29932544161264,2.97852028639618,3.60762755540285,1,"Digital",1
"2175 Web designers and developers",25.364175,9.193625,11.905125,0.5236,0.13585,0.15975,7.87155,5.6486,13.36875,25.9103,3.94,159,410,462,422,2,22,8,7,106,33,75,9.20696901172828,6.6793997271487,8.03511667770109,1,"Digital",1
"2211 Chemical technologists and technicians",7.9786,3.5532,11.799,3.8976,18.3478,1.5943,0.5168,2.9256,0.93,15.7084,2.66,166,147,6,165,211,69.5,299,105,267,458,465,159.665059263704,203.42852364427,141.242869321339,0,NA,NA
"2212 Geological and mineral technologists and technicians",16.046,14.812875,15.332625,12.3873,11.55225,2.712,2.7645,1.855,1.855,13.9311,3.36,74,23,33,111,86,174,55,163,42,205,313,86.6133004609658,99.2473930288621,77.6167842472629,0,NA,NA
"2221 Biological technologists and technicians",12.312,2.4156,11.6795,3.173,12.519,25.4282,0.7975,2.5944,3.29,14.924,3.63,170,178,20,1,45,91.5,152,141,325,435,190.5,116.529279984497,106.352120627378,101.635049505452,0,NA,NA
"2222 Agricultural and fish products inspectors",9.8549,4.6535,11.6202,1.128,5.0112,5.5973,3.1141,1.3125,0.75,13.3227,3.06,173,337,146,70,250.5,260.5,231,176,224,167,400,213.089954996462,201.120376906808,225.177129565939,0,NA,NA
"2223 Forestry technologists and technicians",12.9678111111111,9.56113333333333,11.2913666666667,7.14653333333333,6.77191111111111,11.869,6.3448,2.54055555555556,1.82583333333333,12.3933333333333,3.58666666666667,186,72,93,34,88,96,126,206,100,49,213,93.5291001534993,91.0313860344704,113.24731502482,0,NA,NA
"2224 Conservation and fishery officers",11.595612,9.06384,12.26958,6.493784,7.376784,15.451392,3.216752,2.28,2.3125,12.98182,3.69,148,87,84,16,71,115,172,187,118,158,167.5,124.219117681358,127.886670630337,119.012381052614,0,NA,NA
"2225 Landscape and horticulture technicians and specialists",3.9788,4.6284,6.9552,1.057,8.8803,6.9412,0.957,1.0044,0,0.375,3.05,352.5,342.5,62.5,53.5,445.5,323.5,394.5,479.5,226.5,414.5,402.5,358.567319618805,432.15253843925,349.003092650844,0,NA,NA
"2231 Civil engineering technologists and technicians",15.6379,22.6629,20.9032,10.5096,7.8498,3.5476,4.6128,1.3125,1.88,15.13,3.74,21,33,75,99,84.5,260.5,60,129,15,79,147,52.3533948092301,82.8471984894162,48.9688393863205,0,NA,NA
"2232 Mechanical engineering technologists and technicians",13.49705,22.28265,17.21585,11.2988,8.17565,1.06645,3.923325,4.62,2.07375,14.16545,3.83,44,27,68,218,76,31,108,157,17,107,107.5,48.1713924066209,105.961112317491,43.3666410209115,0,NA,NA
"2233 Industrial engineering and manufacturing technologists and technicians",14.09629375,21.35235,17.44678125,11.2884,9.25815,1.92099375,3.6602125,7.5403125,3.73828125,16.3295625,3.9475,41,28,56,145,39,8,94,92,19,129,72,27.8962823780232,74.1134480046783,24.1091529277999,0,NA,1
"2234 Construction estimators",16.5985,18.56,23.715,5.3357,3.0576,0.9271,3.6285,1.54,3.0456,19.0755,3.59,8,121,234,238,51.5,218,50,41,27,131,209,54.3866261513506,57.1096164333758,48.663940395496,0,NA,NA
"2241 Electrical and electronics engineering technologists and technicians",22.818316,22.598928,17.61936,13.940824,7.3749,0.770832,7.398336,5.744984,4.351152,19.72236,3.716,37,16,85,262,34,21,11,31,16,38,155,21.9720772504596,23.6972738369727,20.2075038432593,1,"High-Tech",1
"2242 Electronic service technicians (household and business equipment)",18.845575,14.5071,11.471075,7.722,3.900225,0.3306,11.80825,3.8822,2.9025,15.24825,3.885,179,67,193,365,56,42,31,125,45,13,91,34.6512586498207,31.2112446526788,49.1519750883908,0,NA,NA
"2243 Industrial instrument technicians and mechanics",12.4587,15.1616,13.041,9.6719,8.15,1.14,3.9856,4.24,3.5,5.535,3.64,134,44,71,212,44,34,148,376,41,106,183,64.2997925285515,97.7231820182954,59.547129389728,0,NA,NA
"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",16.802,19.5238,12.8729,9.76913333333333,6.80522222222222,0.330622222222222,6.9069,2.36506666666667,1.35277777777778,16.5105777777778,3.76333333333333,137,42,92,364,124,107,48,88,22,43,138,52.1245482962093,64.1319671205187,54.1233093921512,0,NA,NA
"2251 Architectural technologists and technicians",15.192625,18.963,16.0175,6.748,2.391475,0.990275,2.550725,1.625,3.25,19.671575,3.83,60,83,299,232,46,202.5,70,32,25,225,107.5,52.8799965418155,57.0703681133182,45.8548682651459,0,NA,NA
"2252 Industrial designers",15.3468,22.9824,12.3172,10.6275,6.6297,0.682,2.509,10.86,2.025,12.834,4.79,147,31,95,276,78,3,68,193,14,233,1,16.9853403576276,109.351987198778,14.3277852762914,1,"High-Tech",1
"2253 Drafting technologists and technicians",17.03198,21.388608,16.800896,7.988164,2.80176,0.864552,2.6656,2.5419,2.925,20.056944,3.784,47,61,252,244,53,95,47,27,18,211,127,42.0075802600556,50.135919293032,36.2018776384601,0,NA,NA
"2254 Land survey technologists and technicians",19.1268,18.1368,21.9232,8.0388,2.415,2.0875,5.8564,1.6544,0.69,14.2857,2.88,19,60,296,140,273.5,198,29,155,29,57,437,60.6143780834979,65.9761641968864,61.165793636404,0,NA,NA
"2255 Technical occupations in geomatics and meteorology",23.999625,10.93125,15.841875,4.4047125,2.5088125,3.974475,2.6184375,3.9790625,8.16,22.00455,3.8225,62,135,275,93,15,40,9,17,88,215,110.5,23.2277799907562,17.962577962578,19.7097343858075,1,"High-Tech",1
"2261 Non-destructive testers and inspection technicians",7.722,7.3158,13.0453,5.735125,5.56875,0.754,0.88145,1.5322,1.31625,9.8527,3.015,132,104,127,264,126,225,309,254,149,429,417,210.982202800708,230.587790693792,191.476710963418,0,NA,NA
"2262 Engineering inspectors and regulatory officers",6.9133,3.6337,10.6267,2.091,2.97,0.492,0.5628,0.5244,0.75,9.2018,3.03,216,247,241,325,250.5,407.5,328,272,259,451,408.5,312.741330026693,310.292803353139,294.589080663065,0,NA,NA
"2263 Inspectors in public and environmental health and occupational health and safety",13.9425,12.22,14.289,10.1185,15.052,12.166,2.622,1.3125,3.0456,12.987,2.71,93,38,10,32,51.5,260.5,98,186,57,214,459.5,99.6464930867871,102.177960204524,89.9900571100733,0,NA,NA
"2264 Construction inspectors",8.9159,16.425,12.8142,8.0496,4.7532,1.38,3.8064,1.3125,0.75,10.78,3.29,139,59,153,198,250.5,260.5,259,232,34,114,337.5,112.770688407771,192.217177841338,112.33515785192,0,NA,NA
"2271 Air pilots, flight engineers and flying instructors",16.3072,7.4782,17.52,12.2902,5.742,2.6576,9.6685,0.5244,2.1056,15.6716,2.81,38,24,118,116,74.5,407.5,52,108,146,23,449,65.072648699085,48.2195322077191,98.9355111400992,0,NA,NA
"2272 Air traffic controllers and related occupations",10.9733,4.368,11.6112,5.3297,0.5082,0.2599,10.2942,1.3125,1.3125,12.1792,3.41,174,122,424,386,131,260.5,186,211,237,18,293,76.6306194173736,56.9217476730859,194.809459807718,0,NA,NA
"2273 Deck officers, water transport",8.12026666666667,6.85751111111111,8.26562222222222,7.07448888888889,5.63662222222222,1.91305555555556,8.06404444444444,1.31957777777778,0.898333333333333,8.74027777777778,3.36333333333333,302.5,74.5,121.5,147.5,221.5,248.5,292.5,282.5,163.5,30.5,311.5,112.650778048358,92.6464097452408,232.386094960522,0,NA,NA
"2274 Engineer officers, water transport",10.1664,14.7294,11.6964,9.515,10.4025,1.512,6.3232,1.3125,1.3125,7.0675,3.58,169,47,47,175,131,260.5,222.5,342,43,50,217.5,98.1600069573073,115.69613098173,120.433037971531,0,NA,NA
"2275 Railway traffic controllers and marine traffic regulators",8.1189,3.7948,6.1908,5.445,6.5736,1.837,6.069,0.5244,0.75,8.544,2.78,382.5,119.5,96.5,149.5,250.5,407.5,294.5,300.5,250.5,53.5,452.5,169.253734007449,137.809328248536,292.378664095971,0,NA,NA
"2281 Computer network technicians",29.2344,13.542125,11.383075,1.053,0.5856,0.22345,11.6732,6.733125,11.83,29.06235,3.955,182,346,419,403,5,15,5,2,50,14,66,7.35798016230839,5.45454545454546,6.67757774140753,1,"Digital",1
"2282 User support technicians",29.4106,10.5608,5.226,0.448,0.2394,0.0306,10.2808,2.5,4.4944,24.3512,3.39,412,418,450,464.5,31,99,4,9,91,19,297,14.9209352615218,10.4918032786885,14.1997221793487,1,"Digital",1
"2283 Information systems testing technicians",22.7058,11.8338,11.248,1.0366,0.2442,0.0416,3.0051,7.205,13.125,23.7165,3.5,189,350,447,459,4,10.5,12,11,63,183,241,12.8130463571232,10.9381906866855,10.802917510331,1,"Digital",1
"3011 Nursing co-ordinators and supervisors",12.8304,1.488,10.5672,1.815,3.2472,8.0487,3.4164,1.62,1.3125,13.734,4.19,220,266,220,47,131,205.5,135,165,380,145,15,170.119153926541,143.873971087952,175.931933919413,0,NA,NA
"3012 Registered nurses and registered psychiatric nurses",9.972375,1.5606,10.76035,1.45985,9.06825,13.4575,2.3183,1.12125,0.8736,12.99825,3.86,210,301,60,23,225,304,228,185,371,262,98,250.657170771021,222.590529874381,248.32633461798,0,NA,NA
"3111 Specialist physicians",12.7716857142857,4.92521632653061,12.1231020408163,6.63916530612245,13.3031387755102,21.0653367346939,3.37536734693878,1.23581632653061,0.839975510204082,11.8839510204082,3.73142857142857,150,85,16,4,231,276,136,216,217,149,150,193.038760008689,174.790212977217,204.790675664618,0,NA,NA
"3112 General practitioners and family physicians",7.812,1.207,15.5591,5.589,12.444,21.3003,1.8887,0.475,0,10.052,3.11,66,111,21,3,445.5,423.5,305,250,397,297,389.5,338.683414116273,311.347431782836,348.190514031509,0,NA,NA
"3113 Dentists",10.3944,6.968,5.5224,6.9696,11.1047,13.0944,2.3541,4.24,1.215,10.626,3.25,403.5,80.5,42.5,24.5,147,34,215.5,236.5,160.5,252.5,357,110.508689508734,204.802685517723,99.3056553489404,0,NA,NA
"3114 Veterinarians",9.758,2.3572,13.1688,4.2432,13.1054,23.103,3.0552,2.24,0.3125,10.3155,3.44,124,138,18,2,348,116.5,234,242,328,178,280,211.471488320826,237.77725096229,219.432725393243,0,NA,NA
"3121 Optometrists",8.9835,2.7676,15.133,10.0734,13.4,20.21,1.8165,1.88,1.0044,9.153,3.22,78,39,15,5,189.5,164.5,257,276,306,305,360.5,237.125844621806,249.946964632649,226.911255680124,0,NA,NA
"3122 Chiropractors",13.92,4.5305,8.908,3.7611,6.2832,17.4936,2.4125,1.3125,0.75,14.282,3.76,281,154,104,11,250.5,260.5,99,156,232,247,140.5,184.650807861449,164.083527335277,175.675868853308,0,NA,NA
"3124 Allied primary health practitioners",8.35,1.632,8.2984,3.0772,11.5144,16.2487,3.6058,1.125,1.125,8.432,3.88,299,185,34,14,161.5,299,285,305,366,136,93,228.347669140181,197.847482899532,263.484442374672,0,NA,NA
"3125 Other professional occupations in health diagnosing and treating",10.8481111111111,1.75466666666667,10.9189333333333,5.01065555555556,8.59306666666667,14.5015777777778,1.8624,3.09805555555556,1.60111111111111,12.0035222222222,3.62666666666667,200,128,65,20,101,61,202,213,359,301,194,144.158012912924,176.101406521604,130.515121446664,0,NA,NA
"3131 Pharmacists",12.3175,1.1218,16.6934,1.8816,17.3536,14.7784,3.2112,1.3125,1.215,17.518,2.85,50,259,7,18,147,260.5,151,72,403,159,441.5,151.577644508648,120.176656336101,149.99846897259,0,NA,NA
"3132 Dietitians and nutritionists",10.3008,2.3828,13.497,1.6744,11.3169,17.0569,2.4066,2.24,2.5,12.9269,3.65,117,285,38,13,64,116.5,217,191,326,248,179.5,147.185405822246,137.004276432842,136.058690662296,0,NA,NA
"3141 Audiologists and speech-language pathologists",12.96555,2.98745,8.4686,3.0225,1.77675,6.1589,2.349,3.16875,1.645,13.175,3.295,291,187,336,58,95.5,60,127,180,295,255,332.5,126.640717079564,144.894430064931,115.016887337586,0,NA,NA
"3142 Physiotherapists",8.3258,1.743,7.4382,7.6432,4.68,15.9975,2.0178,2.82,0.75,8.2818,3.84,334,69,156,15,250.5,76.5,287,309,361,287,104,201.260894250317,282.757569842779,189.826596193818,0,NA,NA
"3143 Occupational therapists",9.104775,2.668575,5.319225,1.806675,1.5476,4.5539,1.6109,3.38,0.75,10.940825,4.01,409,267,351,85,250.5,52.5,251,231,311,340,52.5,161.794799431518,263.378070891652,146.406629674681,0,NA,NA
"3144 Other professional occupations in therapy and assessment",8.41859375,1.4485625,4.179,0.8133375,1.35255,2.74905,1.7203125,2.69890625,0.9,9.94459375,4.15,450,375,364,108,220,86,283,252,383,327,21.5,205.861686189104,265.827302848575,191.592886156586,0,NA,NA
"3211 Medical laboratory technologists",8.61666666666667,2.01173333333333,7.3056,1.30931111111111,12.3114777777778,17.5354666666667,1.03111111111111,0.900277777777778,1.01937777777778,11.571,2.92333333333333,336,324,23,10,179,349,272,223,340,406,431,273.603530733532,247.833817965104,256.771855578186,0,NA,NA
"3212 Medical laboratory technicians and pathologists' assistants",9.7515,3.4362,10.1844,2.996975,10.89225,9.3009,2.8919,1.86375,1.645,18.06995,3.43,232,188,45,42,95.5,172,235,54,272,193,285,126.63627181382,105.439519939305,118.412838546211,0,NA,NA
"3213 Animal health technologists and veterinary technicians",9.0882,2.5844,13.7268,2.1248,6.5,12.8898,0.876,1.3125,1.215,12.3255,3.45,111,239,101,26,147,260.5,252,208,314,430,276.5,241.809747778844,224.539966962931,222.294246795737,0,NA,NA
"3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",13.0815,3.4444,11.3283,9.4464,11.253,12.4475,2.145,2.9256,0.75,13.9093,3.82,185,48,39,31,250.5,69.5,121,164,271,275,112.5,151.066808610554,183.010587977699,138.525880800124,0,NA,NA
"3215 Medical radiation technologists",15.996,6.0433,11.6675,11.5128,5.8539,11.352,4.0411,1.54,1.3125,14.6316,3.62,171,26,116,35,131,218,56,146,185,105,196,116.961675538728,96.7204499470978,119.431812862504,0,NA,NA
"3216 Medical sonographers",11.31,3.6188,9.1613,13.9125,4.0548,8.2644,3.1317,2.5,0.3125,14.0096,3.64,261,17,184,46,348,99,178,159,264,166,183,174.097078980226,193.330619078076,175.589501205561,0,NA,NA
"3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",12.8759,2.3114,9.57,6.9168,5.0624,5.5189,3.54,1.54,1.0044,15.867,3.3,245,82,145,71,189.5,218,129,101,330,138,330.5,159.884133975449,133.601347892121,164.837350244016,0,NA,NA
"3219 Other medical technologists and technicians (except dental health)",9.0514,12.0521,10.40175,10.6222,8.9972,6.1503,2.84445,6.74595,0.945,8.8848,3.94,228,32,61,59,201,14,255,280,59,201,74,59.5833383069776,230.335681960483,52.2199771058827,0,NA,NA
"3221 Denturists",10.3944,6.968,5.5224,6.9696,11.1047,13.0944,2.3541,4.24,1.215,10.626,3.25,403.5,80.5,42.5,24.5,147,34,215.5,236.5,160.5,252.5,357,110.508689508734,204.802685517723,99.3056553489404,0,NA,NA
"3222 Dental hygienists and dental therapists",9.0812,2.1063,4.0582,3.0807,9.3224,11.322,1.19,0.75,0.3125,10.71,3.27,453,183,54,36,348,368,253,233,337,392,345,311.058472342515,293.677758319496,298.606428124272,0,NA,NA
"3223 Dental technologists, technicians and laboratory assistants",7.038,14.7204,9.2708,7.0224,12.3914,3.8192,1.5364,3.5,0.1344,4.3976,3.69,258,77,22,96,394.5,49,324,400,44,350,167.5,112.844828248814,365.358980801941,99.3613926218638,0,NA,NA
"3231 Opticians",8.01,3.6477,16.383,3.2732,3.6477,2.1279,2.438,2.1875,0.5244,11.4345,3.69,53,171,210,139,305.5,120.5,297,226,254,242,167.5,219.85365394464,264.220685598612,215.743631916993,0,NA,NA
"3232 Practitioners of natural healing",8.2908,1.298,5.964,2.721375,9.088125,17.3475,1.22945,1.7861,1.0275,7.1248,3.705,387,204,59,12,178,178,289,341,390,388,159,264.624055081961,275.301237882425,248.719324489297,0,NA,NA
"3233 Licensed practical nurses",8.5228,0.9452,12.138,1.3502,11.8625,7.0434,1.9584,1.88,0.3125,11.8218,3.73,149,320,30,51,348,164.5,277,217,422.5,294,152,262.662413798351,277.019086237479,257.027399767061,0,NA,NA
"3234 Paramedical occupations",9.3347,4.1193,15.2352,6.2194,11.625,12.1079,10.1232,1.3125,1.0044,15.1312,3.7,76,91,32,33,189.5,260.5,240,128,245,20,162,82.5777021047338,61.757265602786,199.682171171837,0,NA,NA
"3236 Massage therapists",2.768,0.8308,3.4081,0.959,1.5301,10.2391,0.7632,1.215,0,4.4969,3.63,463,356,353,39,445.5,284.5,440,399,431,440,190.5,397.555541372831,431.276655306968,389.873970586013,0,NA,NA
"3237 Other technical occupations in therapy and assessment",12.08975,1.9936875,7.3438625,2.19744375,1.9100125,4.213575,2.428125,2.6675,0.76546875,10.70978125,3.8725,335,233,329,90,236,88,158,234,341,244,96,181.787327963032,212.250355487271,172.867013024014,0,NA,NA
"3411 Dental assistants",6.8774,1.936,4.9374,1.8725,6.2094,3.6408,2.0585,1.88,0.3125,15.7125,3.4,424,262,106,98,348,164.5,336,104,345,283,295,215.748998499184,211.891063217352,205.85477688904,0,NA,NA
"3413 Nurse aides, orderlies and patient service associates",5.83706666666667,0.848575,4.59881944444444,1.01608333333333,2.61393611111111,2.48681666666667,2.41605,0.809322222222222,0.251736111111111,6.25888888888889,3.63333333333333,435,354,268,123,382,356,350,362,430,246,186,345.131482370259,326.174540438654,374.92231873562,0,NA,NA
"3414 Other assisting occupations in support of health services",7.61016666666667,1.92477777777778,6.654325,1.51082777777778,4.20715833333333,4.4492,2.18396111111111,1.21875,0.8425,11.95325,3.47333333333333,364,297,177,87,230,280.5,310,215,346,271,251,269.242046060991,252.357354740648,268.697153140473,0,NA,NA
"4011 University professors and lecturers",14.8574658304498,3.68405475778547,14.01868183391,3.85324602076125,4.13710830449827,5.86100138408305,3.4071151384083,0.726191003460208,1.04117188581315,15.8692015570934,4.195,100,149,181,61,174,379,81,100,253,146,13,145.695762274833,115.563119781072,145.437687012163,0,NA,NA
"4012 Post-secondary teaching and research assistants",15.4936,2.2272,12.0267,1.6335,1.9007,3.80855,1.88845,2.425,5.20125,14.9342,3.715,156,288,330,97,25,105,64,140,332,298,156,78.2066696566926,62.225010147227,68.1428054702611,0,NA,NA
"4021 College and other vocational instructors",14.5485191836735,3.60330579591837,13.7398857142857,3.73304310204082,4.19383248979592,5.71426971428571,3.38752408163265,0.740738204081633,1.00157118367347,15.3953436734694,4.19371428571429,109,155,179,67,197,378,83,120,265,148,14,156.539189500588,125.269567734865,158.139516727623,0,NA,NA
"4031 Secondary school teachers",14.9904,3.6285,13.8446,3.1073,3.8582,3.2702,4.512,1.62,1.125,12.825,4.07,105,181,194,103,161.5,205.5,75,195,263,85,39,134.311772257452,110.982591162619,151.31213873764,0,NA,NA
"4032 Elementary school and kindergarten teachers",13.464,1.712,14.2486,1.749,2.1463,7.3098,1.1289,1.75,1.035,12.8282,4.15,94,269,318,50,176,184.5,109,194,363,396,21.5,196.554969597467,178.669350375596,178.52730644024,0,NA,NA
"4033 Educational counsellors",14.0685,1.7596,9.975,0.5375,1.0375,1.5485,2.5109,1.75,1.215,13,3.96,233.5,403.5,382.5,170.5,147,184.5,95.5,183.5,357.5,231.5,62,171.326674227808,149.028073220353,162.761788293573,0,NA,NA
"4111 Judges",10.5138,1.963,6.3063,1.1988,1.1808,1.4256,2.4344,0.75,0.5244,13.2834,3.26,379,332,374,188,305.5,368,213,179,343,243,352.5,258.548697298296,227.408964001144,261.66914415951,0,NA,NA
"4112 Lawyers and Quebec notaries",12.617,1.836,8.448,0.1944,0.4446,0.345,3.3201,1.88,1.125,13.4514,3.35,292,450,425,358.5,161.5,164.5,142,172,351,154,314.5,175.121033267582,157.611785088197,179.788822796124,0,NA,NA
"4151 Psychologists",10.228788,0.740328,13.216644,0.221544,0.92592,4.895344,1.23082,1.0881,1.887176,13.68502,3.592,123,449,392,80,83,307,219,167,436,387,205,196.624612416575,160.128634597347,178.96976305082,0,NA,NA
"4152 Social workers",9.2402,0.218666666666667,4.627,0.0842666666666667,0.855866666666667,1.64456666666667,1.55311111111111,0.935,1.05555555555556,13.1674222222222,3.56666666666667,434,469,398,162,172,333,246,181,476,345,224,257.465902298206,219.616005873715,244.931349672684,0,NA,NA
"4153 Family, marriage and other related counsellors",7.30927777777778,0.374111111111111,5.93546666666667,0.262111111111111,2.45544444444444,6.28071111111111,1.35831111111111,0.910066666666667,0.6348,11.7889444444444,3.2,389,438,292,56,285,348,318,218,469,375,369,318.301148918428,288.661014703318,308.823096856682,0,NA,NA
"4154 Professional occupations in religion",9.4276,1.3205,3.0621,0.165,0.2664,0.4095,3.1899,0.75,0.75,9.4107,4.01,469,459,445,345,250.5,368,239,264,387,162,52.5,257.08360972908,221.589902648864,290.634454642461,0,NA,NA
"4155 Probation and parole officers and related occupations",14.3775,1.0981,4.9042,0.0101,2.2468,0.5842,3.243,0.5244,0.75,13.9956,3.9,425,478.5,312,293,250.5,407.5,89,161,406,157,87,184.648390909289,144.984228834488,191.094414528186,0,NA,NA
"4156 Employment counsellors",14.0685,1.7596,9.975,0.5375,1.0375,1.5485,2.5109,1.75,1.215,13,3.96,233.5,403.5,382.5,170.5,147,184.5,95.5,183.5,357.5,231.5,62,171.326674227808,149.028073220353,162.761788293573,0,NA,NA
"4161 Natural and applied science policy researchers, consultants and program officers",10.7379,16.23403125,16.695,9.2533625,7.010575,6.60740625,2.55871875,5.2609375,3.6884375,15.076875,3.8225,49,52,91,55,42,24,205,131,35,224,110.5,55.6028371792216,99.6750967975126,48.3261193885091,0,NA,NA
"4162 Economists and economic policy researchers and analysts",14.5597111111111,2.93013333333333,26.4253111111111,2.05977777777778,1.50522222222222,2.33884444444444,1.80906666666667,2.0982,4.875,20.9125333333333,3.95666666666667,3,251,354,131,27,147,82,20,297,307,65,55.177111683551,40.5563194077208,47.3960660288436,0,NA,NA
"4163 Business development officers and marketing researchers and consultants",14.985,2.565,13.7709,0.1836,0.3564,0.5152,2.4,1.96,5.355,17.8861,3.92,108,453,433,315,22,154.5,76,57,317,250,82.5,68.7551114527169,51.4862027149746,60.0368563219427,0,NA,NA
"4164 Social policy researchers, consultants and program officers",13.065,1.078,10.72665,0.4233,0.5166,1.365,2.325,2.11875,5.9536,15.543425,3.5,212,421,422,200,18,125,122,111,410,259,241,71.5086070251752,54.394841024026,62.4532930263978,0,NA,NA
"4165 Health policy researchers, consultants and program officers",15.3867,4.180425,10.88505,2.1638,4.598,11.270325,4.5254,2.0825,5.47875,17.06255,3.415,203,235,158,37,21,149,66,76,243,84,291.5,62.5673480274264,46.9860573510306,59.4304478996454,0,NA,NA
"4166 Education policy researchers, consultants and program officers",15.0274,3.2852,17.391,2.821,3.7611,4.7499,3.6192,1.4256,0.8556,12.525,4.07,42,200,201,83,227.5,234,74,204,279,134,39,158.638228898541,133.354860647981,164.39528578019,0,NA,NA
"4167 Recreation, sports and fitness policy researchers, consultants and program officers",17.4096,1.8582,11.9192,0.5617,0.65,2.886,3.0954,2.76,10.14,15.3873,3.87,158,398,413,106,7,83,44,121,350,168,97,34.0735106818859,24.7929627545064,29.3819147048762,0,NA,NA
"4168 Program officers unique to government",10.23,0.4847,8.8416,0.3016,0.297,0.3744,2.6596,0.1344,0.69,12.5712,3.11,283,435,442,352,273.5,460.5,218,203,458,212,389.5,270.862137776897,224.643457357866,286.423723655514,0,NA,NA
